,Unnamed: 0,开奖日期,期号,中奖号码,1,3,6
1,0.0,2020-09-30,2020225,0 9  7,0,9,7
2,1.0,2020-09-29,2020224,7 5  8,7,5,8
3,2.0,2020-09-28,2020223,4 2  1,4,2,1
4,3.0,2020-09-27,2020222,6 3  8,6,3,8
5,4.0,2020-09-26,2020221,9 8  8,9,8,8
6,5.0,2020-09-25,2020220,9 7  3,9,7,3
7,6.0,2020-09-24,2020219,2 8  5,2,8,5
8,7.0,2020-09-23,2020218,8 5  3,8,5,3
9,8.0,2020-09-22,2020217,6 7  9,6,7,9
10,9.0,2020-09-21,2020216,3 8  5,3,8,5
11,10.0,2020-09-20,2020215,1 1  4,1,1,4
12,11.0,2020-09-19,2020214,6 5  1,6,5,1
13,12.0,2020-09-18,2020213,0 2  7,0,2,7
14,13.0,2020-09-17,2020212,4 1  8,4,1,8
15,14.0,2020-09-16,2020211,2 4  1,2,4,1
16,15.0,2020-09-15,2020210,4 9  6,4,9,6
17,16.0,2020-09-14,2020209,3 7  7,3,7,7
18,17.0,2020-09-13,2020208,2 0  2,2,0,2
19,18.0,2020-09-12,2020207,2 3  4,2,3,4
20,19.0,2020-09-11,2020206,9 6  0,9,6,0
21,20.0,2020-09-10,2020205,9 9  3,9,9,3
22,21.0,2020-09-09,2020204,1 2  6,1,2,6
23,22.0,2020-09-08,2020203,1 0  0,1,0,0
24,23.0,2020-09-07,2020202,4 8  2,4,8,2
25,24.0,2020-09-06,2020201,9 4  2,9,4,2
26,25.0,2020-09-05,2020200,6 0  2,6,0,2
27,26.0,2020-09-04,2020199,5 6  7,5,6,7
28,27.0,2020-09-03,2020198,8 3  2,8,3,2
29,28.0,2020-09-02,2020197,7 8  4,7,8,4
30,29.0,2020-09-01,2020196,4 7  1,4,7,1
31,30.0,2020-08-31,2020195,2 4  3,2,4,3
32,31.0,2020-08-30,2020194,9 4  1,9,4,1
33,32.0,2020-08-29,2020193,9 3  3,9,3,3
34,33.0,2020-08-28,2020192,7 0  8,7,0,8
35,34.0,2020-08-27,2020191,6 4  1,6,4,1
36,35.0,2020-08-26,2020190,7 3  3,7,3,3
37,36.0,2020-08-25,2020189,6 2  5,6,2,5
38,37.0,2020-08-24,2020188,4 6  5,4,6,5
39,38.0,2020-08-23,2020187,6 1  2,6,1,2
40,39.0,2020-08-22,2020186,9 0  3,9,0,3
41,40.0,2020-08-21,2020185,1 6  3,1,6,3
42,41.0,2020-08-20,2020184,0 1  1,0,1,1
43,42.0,2020-08-19,2020183,5 4  9,5,4,9
44,43.0,2020-08-18,2020182,8 4  5,8,4,5
45,44.0,2020-08-17,2020181,2 2  7,2,2,7
46,45.0,2020-08-16,2020180,6 4  4,6,4,4
47,46.0,2020-08-15,2020179,6 6  0,6,6,0
48,47.0,2020-08-14,2020178,2 0  5,2,0,5
49,48.0,2020-08-13,2020177,1 3  7,1,3,7
50,49.0,2020-08-12,2020176,9 3  3,9,3,3
51,50.0,2020-08-11,2020175,3 0  4,3,0,4
52,51.0,2020-08-10,2020174,6 8  7,6,8,7
53,52.0,2020-08-09,2020173,9 0  9,9,0,9
54,53.0,2020-08-08,2020172,7 6  9,7,6,9
55,54.0,2020-08-07,2020171,7 1  0,7,1,0
56,55.0,2020-08-06,2020170,9 4  2,9,4,2
57,56.0,2020-08-05,2020169,9 6  5,9,6,5
58,57.0,2020-08-04,2020168,2 1  5,2,1,5
59,58.0,2020-08-03,2020167,6 4  1,6,4,1
60,59.0,2020-08-02,2020166,8 0  8,8,0,8
61,60.0,2020-08-01,2020165,9 1  0,9,1,0
62,61.0,2020-07-31,2020164,7 6  9,7,6,9
63,62.0,2020-07-30,2020163,8 0  4,8,0,4
64,63.0,2020-07-29,2020162,8 1  0,8,1,0
65,64.0,2020-07-28,2020161,6 8  8,6,8,8
66,65.0,2020-07-27,2020160,5 9  3,5,9,3
67,66.0,2020-07-26,2020159,9 1  5,9,1,5
68,67.0,2020-07-25,2020158,3 2  0,3,2,0
69,68.0,2020-07-24,2020157,2 0  0,2,0,0
70,69.0,2020-07-23,2020156,1 1  2,1,1,2
71,70.0,2020-07-22,2020155,9 9  3,9,9,3
72,71.0,2020-07-21,2020154,8 8  6,8,8,6
73,72.0,2020-07-20,2020153,9 1  6,9,1,6
74,73.0,2020-07-19,2020152,7 0  4,7,0,4
75,74.0,2020-07-18,2020151,7 8  8,7,8,8
76,75.0,2020-07-17,2020150,6 1  2,6,1,2
77,76.0,2020-07-16,2020149,3 9  1,3,9,1
78,77.0,2020-07-15,2020148,9 8  1,9,8,1
79,78.0,2020-07-14,2020147,0 8  6,0,8,6
80,79.0,2020-07-13,2020146,5 3  5,5,3,5
81,80.0,2020-07-12,2020145,1 0  9,1,0,9
82,81.0,2020-07-11,2020144,8 6  9,8,6,9
83,82.0,2020-07-10,2020143,0 8  6,0,8,6
84,83.0,2020-07-09,2020142,8 9  9,8,9,9
85,84.0,2020-07-08,2020141,8 0  5,8,0,5
86,85.0,2020-07-07,2020140,4 8  1,4,8,1
87,86.0,2020-07-06,2020139,9 5  0,9,5,0
88,87.0,2020-07-05,2020138,0 2  0,0,2,0
89,88.0,2020-07-04,2020137,9 9  4,9,9,4
90,89.0,2020-07-03,2020136,7 4  6,7,4,6
91,90.0,2020-07-02,2020135,5 6  9,5,6,9
92,91.0,2020-07-01,2020134,8 8  4,8,8,4
93,92.0,2020-06-30,2020133,2 7  6,2,7,6
94,93.0,2020-06-29,2020132,6 4  9,6,4,9
95,94.0,2020-06-28,2020131,0 5  3,0,5,3
96,95.0,2020-06-27,2020130,4 5  5,4,5,5
97,96.0,2020-06-26,2020129,3 6  0,3,6,0
98,97.0,2020-06-25,2020128,8 6  8,8,6,8
99,98.0,2020-06-24,2020127,8 8  5,8,8,5
100,99.0,2020-06-23,2020126,9 1  5,9,1,5
101,100.0,2020-06-22,2020125,7 4  9,7,4,9
102,101.0,2020-06-21,2020124,1 8  5,1,8,5
103,102.0,2020-06-20,2020123,0 1  5,0,1,5
104,103.0,2020-06-19,2020122,3 8  4,3,8,4
105,104.0,2020-06-18,2020121,8 7  0,8,7,0
106,105.0,2020-06-17,2020120,1 0  9,1,0,9
107,106.0,2020-06-16,2020119,1 2  5,1,2,5
108,107.0,2020-06-15,2020118,2 9  7,2,9,7
109,108.0,2020-06-14,2020117,7 2  1,7,2,1
110,109.0,2020-06-13,2020116,0 0  8,0,0,8
111,110.0,2020-06-12,2020115,0 3  6,0,3,6
112,111.0,2020-06-11,2020114,7 3  7,7,3,7
113,112.0,2020-06-10,2020113,5 2  4,5,2,4
114,113.0,2020-06-09,2020112,5 0  3,5,0,3
115,114.0,2020-06-08,2020111,2 2  0,2,2,0
116,115.0,2020-06-07,2020110,4 5  0,4,5,0
117,116.0,2020-06-06,2020109,8 1  8,8,1,8
118,117.0,2020-06-05,2020108,1 5  5,1,5,5
119,118.0,2020-06-04,2020107,8 5  6,8,5,6
120,119.0,2020-06-03,2020106,9 6  4,9,6,4
121,120.0,2020-06-02,2020105,1 9  8,1,9,8
122,121.0,2020-06-01,2020104,3 9  7,3,9,7
123,122.0,2020-05-31,2020103,8 7  2,8,7,2
124,123.0,2020-05-30,2020102,7 8  6,7,8,6
125,124.0,2020-05-29,2020101,2 9  8,2,9,8
126,125.0,2020-05-28,2020100,6 6  8,6,6,8
127,126.0,2020-05-27,2020099,6 8  1,6,8,1
128,127.0,2020-05-26,2020098,2 9  2,2,9,2
129,128.0,2020-05-25,2020097,8 4  0,8,4,0
130,129.0,2020-05-24,2020096,6 6  6,6,6,6
131,130.0,2020-05-23,2020095,7 4  0,7,4,0
132,131.0,2020-05-22,2020094,9 1  1,9,1,1
133,132.0,2020-05-21,2020093,1 2  4,1,2,4
134,133.0,2020-05-20,2020092,4 9  7,4,9,7
135,134.0,2020-05-19,2020091,0 8  8,0,8,8
136,135.0,2020-05-18,2020090,5 7  5,5,7,5
137,136.0,2020-05-17,2020089,5 7  7,5,7,7
138,137.0,2020-05-16,2020088,7 4  6,7,4,6
139,138.0,2020-05-15,2020087,1 1  4,1,1,4
140,139.0,2020-05-14,2020086,5 1  6,5,1,6
141,140.0,2020-05-13,2020085,3 3  6,3,3,6
142,141.0,2020-05-12,2020084,6 1  2,6,1,2
143,142.0,2020-05-11,2020083,4 4  0,4,4,0
144,143.0,2020-05-10,2020082,1 9  1,1,9,1
145,144.0,2020-05-09,2020081,1 4  8,1,4,8
146,145.0,2020-05-08,2020080,6 6  2,6,6,2
147,146.0,2020-05-07,2020079,5 7  0,5,7,0
148,147.0,2020-05-06,2020078,5 9  7,5,9,7
149,148.0,2020-05-05,2020077,0 2  0,0,2,0
150,149.0,2020-05-04,2020076,0 8  2,0,8,2
151,150.0,2020-05-03,2020075,2 7  6,2,7,6
152,151.0,2020-05-02,2020074,0 7  9,0,7,9
153,152.0,2020-05-01,2020073,6 8  5,6,8,5
154,153.0,2020-04-30,2020072,9 2  1,9,2,1
155,154.0,2020-04-29,2020071,0 5  9,0,5,9
156,155.0,2020-04-28,2020070,8 3  5,8,3,5
157,156.0,2020-04-27,2020069,2 6  0,2,6,0
158,157.0,2020-04-26,2020068,1 5  3,1,5,3
159,158.0,2020-04-25,2020067,9 4  2,9,4,2
160,159.0,2020-04-24,2020066,2 1  9,2,1,9
161,160.0,2020-04-23,2020065,2 9  4,2,9,4
162,161.0,2020-04-22,2020064,8 5  3,8,5,3
163,162.0,2020-04-21,2020063,6 6  3,6,6,3
164,163.0,2020-04-20,2020062,9 0  2,9,0,2
165,164.0,2020-04-19,2020061,5 3  5,5,3,5
166,165.0,2020-04-18,2020060,8 2  8,8,2,8
167,166.0,2020-04-17,2020059,9 4  8,9,4,8
168,167.0,2020-04-16,2020058,9 0  2,9,0,2
169,168.0,2020-04-15,2020057,8 8  0,8,8,0
170,169.0,2020-04-14,2020056,4 6  2,4,6,2
171,170.0,2020-04-13,2020055,4 6  8,4,6,8
172,171.0,2020-04-12,2020054,9 7  8,9,7,8
173,172.0,2020-04-11,2020053,4 3  0,4,3,0
174,173.0,2020-04-10,2020052,5 0  3,5,0,3
175,174.0,2020-04-09,2020051,2 2  1,2,2,1
176,175.0,2020-04-08,2020050,3 1  4,3,1,4
177,176.0,2020-04-07,2020049,2 9  7,2,9,7
178,177.0,2020-04-06,2020048,9 9  7,9,9,7
